,time,user_followers,Polarity,Subjectivity,BERT_SCORE,Vader_Comp,Vader_Pos,Vader_Neg,Vader_Neu,W_Vad_Pos,W_Vad_Neg,W_Vad_Neu,W_Vad_Comp,W_BERT_SCORE,W_Polarity,W_Subjectivity,W_BERT_Label,high,low,open,volumefrom,volumeto,close,Change,Change_Pct,Change_Cat
387,2022-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39861.91,37039.71,39134.83,30834.07,1184510441,37714.96,5474.5,14.51546018,1
388,2022-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43953.92,37473.3,37714.96,55323.43,2231772119,43189.46,1239.01,2.868778633,1
389,2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44883.1,42893.5,43189.46,48462.11,2121207162,44428.47,-493.1,-1.109873916,-1
390,2022-03-02,4041038,27.25476671,81.17341931,206.4777824,51.1511,19.192,5.699,212.112,65940.16,35545.297,3939566.063,103185.7265,3641936.233,125489.9304,458543.1819,88227,45069.78,43387.92,44428.47,37389.51,1652867992,43935.37,-1461,-3.325339015,-1
391,2022-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44079.17,41852.46,43935.37,36512.65,1565020514,42474.37,-3319.97,-7.816407871,-1
392,2022-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42520.95,38621.24,42474.37,50126.39,2043287978,39154.4,252.62,0.6451893018,1
393,2022-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39596.42,38652.98,39154.4,15938.79,624289503.9,39407.02,-978.1,-2.482045077,-1
394,2022-03-06,8920697,21.41642015,68.25683021,173.2278168,43.7453,17.573,4.849,175.585,2318699.135,17652.014,6584354.492,7109948.624,8060950.01,2838830.464,4173113.261,-8749,39686.74,38133.84,39407.02,21034.62,818379145.1,38428.92,-398.29,-1.036432978,-1
395,2022-03-07,5820683,68.08753728,185.4084002,524.4930827,106.9771,42.418,16.551,549.029,320385.074,73595.045,5426786.637,943501.3679,5100123.517,698442.2585,2979832.415,111099,39536.14,37191.99,38428.92,40474.56,1547870220,38030.63,717.89,1.887662655,1
396,2022-03-08,724318,12.76494228,40.31664442,128.1753257,27.5676,11.79,4.109,131.097,70421.675,15244.997,638650.57,129790.8285,631368.2805,42317.15657,107622.8111,-61001,39361.33,37905.43,38030.63,35521.85,1373819362,38748.52,3214.33,8.295361991,1
397,2022-03-09,1884040,46.40116119,118.1968975,332.1997465,84.9063,33.323,9.878,345.795,156337.956,43072.932,1684630.274,424825.3166,1566475.295,357663.7427,573179.0795,218167,42557.95,38685.96,38748.52,47211.82,1960521974,41962.85,-2519.43,-6.003953497,-1
398,2022-03-10,9108564,98.3494234,266.2146324,702.0349786,176.0824,73.364,27.896,719.748,1068356.699,82888.485,7957458.536,3636591.97,7417169.035,1428390.113,1362645.202,110583,42043.56,38853.45,41962.85,42472.49,1683595950,39443.42,-702.39,-1.780753292,-1
399,2022-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40221.93,38261.24,39443.42,39197.4,1527385235,38741.03,64.5,0.1664901527,1
400,2022-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39414.02,38696.52,38741.03,11886.69,464694957.4,38805.53,-1009.22,-2.600711806,-1
401,2022-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39254.88,37633.11,38805.53,17796.13,687723583.6,37796.31,1899.97,5.026866379,1
402,2022-03-14,346141,10.2882014,25.22147367,70.36316401,15.0922,7.161,2.621,74.215,51930.857,7852.73,286316.919,174072.6246,249778.3783,79935.90571,151116.2432,-13479,39802.89,37566.52,37796.31,32100.73,1245884221,39696.28,-381.42,-0.9608457014,-1
403,2022-03-15,5252311,119.0798693,280.4856067,697.9678218,176.9687,77.42,28.16,708.412,498065.185,108312.094,4646018.935,1355163.727,4569116.724,1039972.943,1941564.143,-228741,39863.78,38259.88,39696.28,30642.09,1196862774,39314.86,1818.78,4.62618969,1
